Title                                    , Released year, Duration, Genre          , Language       , Description
Dishoom                                  ,          2016, 1h 56m  , Action         , Action         , "A no-nonsense cop accompanied by a rookie go on a 36-hour manhunt for a missing Indian cricketer, who has been kidnapped under mysterious circumstances."
Saamy 2                                  ,          2018, 2h 28m  , Action         , Action         , "In this sequel to the superhit action thriller Saamy, Aarusaamy's son becomes a cop and takes on Ravana Pichai, the criminal behind his parents' murder."
Ek Villain                               ,          2014, 2h 2m   , Thriller       , Thriller       , "Guru, a goon, marries Aisha and decides to make a fresh start. However, their happiness is short lived when a serial killer makes an entry."
Express Khiladi                          ,          2016, 2h 29m  , Romance        , Romance        , A pantry boy and a young girl fall for each other onboard a train bound for Chennai. They find themselves in danger when a gang of dacoits hijacks the train.
Housefull 2                              ,          2012, 2h 30m  , Comedy         , Comedy         , "Four fathers look for the richest groom for their daughters. Chaos ensues as all the prospective grooms are pretending to be what they are not, i.e., rich."
Kick                                     ,          2014, 2h 20m  , Action         , Action         , "Devi Lal Singh aka Devil, a thief, finds life dull without a kick! And he gets a kick when a psychiatrist and a police officer cross paths with him."
Ranga Patanga                            ,          2016, 1h 39m  , Drama          , Drama          , "When Jumman's beloved oxen goes missing, he decides to search them no matter what. However, on his quest to find them, he lands up in a media circus."
Santrash                                 ,          2003, 2h 17m  , Thriller       , Thriller       , "Shubhankar is on a quest of a man, who can help him avenge the murder of his brother at the hands of a corrupt minister."
Chekka Chivantha Vaanam                  ,          2018, 2h 16m  , Crime          , Crime          , "When an attempt is made on the life of a reigning gangster, his three sons take it upon themselves to hunt the culprit, all amid a succession battle."
Seetimaarr                               ,          2021, 2h 16m  , Action         , Action         , "Boiling the ocean, Karthi's team manages to enter the kabaddi nationals for women where he bumps into Jwala, an opposing team's coach. Yet another battle begins."
Housefull 3                              ,          2016, 2h 8m   , Comedy         , Comedy         , "With superstition plaguing his mind, a Gujarati businessman doesn't want his three daughters to get married. Who will win over this overprotective father?"
Little Krishna - The Darling of Vrindavan,          2009, 1h 30m  , Kids           , Kids           , Follow the story of Lord Krishna's birth and his naughty childhood adventures in Vrindavan.
Maatr                                    ,          2017, 1h 42m  , Thriller       , Thriller       , A traumatised Vidya seeks revenge after her teenage daughter is gang-raped and murdered. She sets out to punish the perpetrators and get justice for her child.
Jigarbaaz                                ,          2017, 1h 53m  , Thriller       , Thriller       , A cop and his two subordinates are on a mission to hunt down a psychotic serial killer. What happens when the clues lead them to a haunting secret.
Thuppakki                                ,          2012, 2h 42m  , Action         , Action         , An army captain visits Mumbai to find a bride. His plans change after an explosion that sets him off on a mission to disable a terrorist cell in the city.
Jatt & Juliet                            ,          2012, 2h 6m   , Romance        , Romance        , "Stark opposites, Fateh Singh and Pooja reach Canada with dreams in their eyes. They cross paths and sparks fly. However, life has a different plan for them."
The Warriorr                             ,          2022, 2h 35m  , Action         , Action         , "Tormented by the city's medical mafia and its kingpin, Guru, Dr Satya flees the city. However, he returns as a powerful police officer to put an end to Guru."
The Return of Abhimanyu                  ,          2018, 2h 23m  , Action         , Action         , "When money goes missing from Major Kathiravan's account, resulting in a personal tragedy, he decides to track down the hacker behind this."
Ghayal Khiladi                           ,          2018, 2h 19m  , Thriller       , Thriller       , "On learning that the company he is employed at is selling adulterated food products, good Samaritan Arivu sets out to fight the unethical practices."
Happy Pill                               ,          2018, 1h 57m  , Drama          , Drama          , College dropout Siddhartha feels weighed down by his average life. Things take a turn when he claims to have discovered a pill that makes people happy.
Helicopter Eela                          ,          2018, 2h 2m   , Drama          , Drama          , "An aspiring singer and a single mother, Eela gives up her dream for her son. Years later, this overprotective mom rejoins college with her son."
Talvar                                   ,          2015, 2h 7m   , Drama          , Drama          , "A double murder case of a teenage girl and the family's domestic help shakes the nation. With many suspects and multiple theories, who is the real culprit?"
Sathuranga Vettai                        ,          2014, 2h 23m  , Action         , Action         , Conman Gandhi Babu has no qualms about cheating people as he believes that is what politicians do. He is all for money and even betrays his love for it.
Bangalore Days                           ,          2014, 2h 44m  , Romance        , Romance        , "Three cousins - Divya, Kuttan and Arjun - have always dreamt of living in Bangalore. When they get there, they end up discovering their true selves."
Mirchi                                   ,          2013, 2h 28m  , Action         , Action         , A well-wisher from the past comes to Manasa's village and carves a place for himself in people's hearts. But who is he and what is his motive?
Inttelligent                             ,          2018, 1h 56m  , Action         , Action         , "Dharam Tej, a software engineer, is very loyal to his boss, Nandha Kishore. All is fine till a criminal gang kills Nandha and turns Dharam into Dharma Bhai."
Sharyat                                  ,          2011, 2h 2m   , Action         , Action         , "Two royal families turn rivals over the right to perform the revered Shiv Puja. As peace becomes a thing of the past, a competition may offer a resolution."
Heropanti                                ,          2014, 2h 15m  , Action         , Action         , "To trace down his runaway daughter and her lover, Chaudhary kidnaps their friend Bablu. Chaos ensues when Bablu falls for Chaudhary’s younger daughter, Dimpy"
A Gentleman                              ,          2017, 2h 6m   , Action         , Action         , A tale of mistaken identities where identical-looking Gaurav and Rishi cross paths only to create confusion and chaos in their lives and of those around them.
Comali                                   ,          2019, 2h 21m  , Comedy         , Comedy         , A happy-go-lucky Ravi meets with an accident that puts him in a coma for 16 years. Hell breaks loose when he wakes up in the 21st century!
Mohini                                   ,          2019, 2h 3m   , Horror         , Horror         , "Vaishnavi and Sandeep's love life takes a spooky turn when Vaishnavi gets possessed by Mohini's spirit, who looks exactly like her. A sinister coincidence?"
Kee                                      ,          2019, 1h 55m  , Thriller       , Thriller       , "Siddharth, a leading hacker leads a happy life. However, things take a drastic turn when he becomes a victim of cyber-bullying."
Baba Baby O                              ,          2022, 2h 9m   , Romance        , Romance        , "In his 40s, Megh becomes a single father with two children through surrogacy. Things take an interesting turn when he falls in love with Brishti."
Janatha Garage                           ,          2016, 2h 30m  , Action         , Action         , "Satyam, the owner of Janatha Garage, earns a reputation as the saviour of the neighbourhood. His life changes when he meets Anand."
Maayavan                                 ,          2017, 1h 57m  , Action         , Action         , "Kumaran, an officer suffering from PTSD is on a serial killer’s trail. He is just about to nab the culprit when he discovers an abnormal truth."
E                                        ,          2017, 1h 43m  , Horror         , Horror         , "While making a documentary on Alzheimer's disease, a man realises that there's more to his subject's inexplicable behaviour - something sinister and terrible."
Bharath Ennum Naan                       ,          2018, 2h 41m  , Action         , Action         , "When circumstances land a young Bharat in the position of the Chief Minister, he has to deal with corruption and enemies while attempting to reform politics."
Return of Hanuman                        ,          2007, 1h 42m  , Animation      , Animation      , "To help a child in trouble, Lord Hanuman takes the avatar of a human being. However, when the evil asuras attack earth, he has to disclose his true identity."
Garam Masala                             ,          2005, 2h 17m  , Comedy         , Comedy         , "Mac, a womaniser, is dating three ladies at the same time. Chaos ensues when Shyam, once Mac’s best friend and now a sworn enemy, decides to disrupt his life."
Sammohanam                               ,          2018, 2h 7m   , Romance        , Romance        , "Vijay, an illustrator, hates the world of films and the people involved. But, in a twist of fate, he falls for Sameera, an actress. Will he forgo his prejudice?"
Pisachi                                  ,          2015, 1h 48m  , Horror         , Horror         , "A loner violinist tries to save an injured girl, but she passes away and starts haunting him instead. Why is she torturing the man who saved her?"
Pink                                     ,          2016, 2h 10m  , Drama          , Drama          , "When three single city girls meet a politician's kin and his friends, a night out becomes a nightmare, which then causes a clash of societal norms and justice."
Aravindante Athidhikal                   ,          2018, 1h 55m  , Drama          , Drama          , "Abandoned as a child near Mookambika Temple, Aravindan does odd jobs at a guest house, keeping everyone happy. However, he secretly desires to meet his mother."
Hungama                                  ,          2003, 2h 22m  , Comedy         , Comedy         , Three misfits find their lives intertwined with desi millionaire Radheshyam Tiwari in a case of mistaken identities that ignites a comedy of errors.
Raja Rani                                ,          2013, 2h 36m  , Romance        , Romance        , "John and Regina get married only to please their parents but are unhappy. However, things change when they find out about each other's pasts."
A Paying Ghost                           ,          2015, 2h      , Comedy         , Comedy         , "Based on V.P. Kale's novel Badali, a kind-hearted Madhav gives shelter to a family of ghosts who in turn help him overcome his hurdles."
